区分,入室時刻,checkIn,hours,既存料金,既存プラン,最安料金,最安プラン,差額(既存-最安)
平日,15:30,15.5,22,25000,"前延長5本 + 宿泊1部(平日) + 延長 3本",21600,"休憩(サービスタイム3部) + 宿泊2部",3400
平日,16:00,16,22,25000,"前延長4本 + 宿泊1部(平日) + 延長 4本",21600,"休憩(サービスタイム3部) + 宿泊2部",3400
平日,16:00,16,22.5,26400,"前延長4本 + 宿泊1部(平日) + 延長 5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本",3400
日祝,15:30,15.5,22,25000,"前延長5本 + 宿泊1部 + 延長3本",21600,"休憩(サービスタイム3部) + 宿泊2部",3400
日祝,16:00,16,22,25000,"前延長4本 + 宿泊1部 + 延長4本",21600,"休憩(サービスタイム3部) + 宿泊2部",3400
日祝,16:00,16,22.5,26400,"前延長4本 + 宿泊1部 + 延長5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本",3400
平日,13:30,13.5,13,21600,"休憩(5時間)(平日) + 宿泊1部(平日)",18400,"前延長1本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",3200
平日,14:00,14,13,21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",3200
平日,14:30,14.5,12.5,21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",3200
平日,15:00,15,12,21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",3200
平日,20:30,20.5,6,13800,"宿泊1部(平日)",10600,"前延長1本 + 休憩(M時間) + 延長1本",3200
平日,21:00,21,6,13800,"宿泊1部(平日)",10600,"休憩(M時間) + 延長2本",3200
平日,21:30,21.5,5.5,13800,"宿泊1部(平日)",10600,"休憩(M時間) + 延長2本",3200
平日,22:00,22,5,13800,"宿泊2部(平日)",10600,"休憩(M時間) + 延長2本",3200
平日,22:30,22.5,4.5,13800,"宿泊2部(平日)",10600,"休憩(M時間) + 延長2本",3200
平日,23:00,23,4,13800,"宿泊2部(平日)",10600,"休憩(M時間) + 延長2本",3200
平日,23:30,23.5,3.5,13800,"宿泊2部(平日)",10600,"休憩(M時間) + 延長2本",3200
日祝,13:30,13.5,13,21600,"休憩(サービスタイム2部) + 宿泊1部",18400,"前延長1本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",3200
日祝,14:00,14,13,21600,"休憩(サービスタイム3部) + 宿泊2部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",3200
日祝,14:30,14.5,12.5,21600,"休憩(サービスタイム3部) + 宿泊2部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",3200
